30285,764d,E,JoCo PS Tac1,Johnson County Public Safety -- Tac 1 (now fully encrypted),Interop,Johnson County Ks Public Safety Common,1
30286,764e,E,JoCo PS Tac2,Johnson County Public Safety -- Tac 2 (now fully encrypted),Interop,Johnson County Ks Public Safety Common,1
30287,764f,E,JoCo PS Tac3,Johnson County Public Safety -- Tac 3 (now fully encrypted),Interop,Johnson County Ks Public Safety Common,1
30400,76c0,D,JoCoCommnAll,Johnson County Common -- Announce (All Call),Interop,Johnson County Ks Common,1
30401,76c1,D,JoCo 911,Johnson County Common -- 911,Interop,Johnson County Ks Common,1
30402,76c2,D,JoCo Common1,Johnson County Common -- 1,Interop,Johnson County Ks Common,1
30403,76c3,D,JoCo Common2,Johnson County Common -- 2,Interop,Johnson County Ks Common,1
30404,76c4,D,JoCo Common3,Johnson County Common -- 3,Interop,Johnson County Ks Common,1
30405,76c5,D,JoCo Common4,Johnson County Common -- 4,Interop,Johnson County Ks Common,1
30406,76c6,D,JoCo Common5,Johnson County Common -- 5,Interop,Johnson County Ks Common,1
30800,7850,D,JoCoAirports,Johnson County Airports Announce (All Call),Public Works,Johnson County Ks : Airports,1
30801,7851,D,NewCntrAirpt,"New Century Air Center, FAA code is IXD",Public Works,Johnson County Ks : Airports,1
30802,7852,D,NewCntrTower,"New Century Air Center, Control Tower , FAA code is IXD",Public Works,Johnson County Ks : Airports,1
30803,7853,D,ExectvAirprt,Executive Airport,Public Works,Johnson County Ks : Airports,1
30804,7854,D,ExecutvTower,Executive Airport Control Tower,Public Works,Johnson County Ks : Airports,1
30805,7855,D,JoCoAirport1,Johnson County Airports -1,Public Works,Johnson County Ks : Airports,1
30806,7856,D,JoCoAirport2,Johnson County Airports -2,Public Works,Johnson County Ks : Airports,1
30807,7857,D,JoCoAirport3,Johnson County Airports -3,Public Works,Johnson County Ks : Airports,1
30820,7864,D,JoCoWstWrAll,Johnson County Wastewater -- Announce (All Call),Public Works,Johnson County Ks Wastewater,1
30821,7865,D,JoCoWWSuprvs,Johnson County Wastewater -- Supervisors,Public Works,Johnson County Ks Wastewater,1
30822,7866,D,JoCoWWPermts,Johnson County Wastewater -- Permits,Public Works,Johnson County Ks Wastewater,1
30823,7867,D,JoCoWWColect,Johnson County Wastewater -- Collections,Public Works,Johnson County Ks Wastewater,1
30824,7868,D,JoCoWWLowell,Johnson County Wastewater -- Lowell Office,Public Works,Johnson County Ks Wastewater,1
30825,7869,D,JoCoWWPlants,Johnson County Wastewater -- Treatment Plants,Public Works,Johnson County Ks Wastewater,1
30826,786a,D,JoCoWW Comm1,Johnson County Wastewater -- Comm 1,Public Works,Johnson County Ks Wastewater,1
30827,786b,D,JoCoWW Comm2,Johnson County Wastewater -- Comm 2,Public Works,Johnson County Ks Wastewater,1
30828,786c,D,JoCoWW Comm3,Johnson County Wastewater -- Comm 3,Public Works,Johnson County Ks Wastewater,1
30829,786d,D,JoCoWW Comm4,Johnson County Wastewater -- Comm 4,Public Works,Johnson County Ks Wastewater,1
30830,786e,D,JoCoWW Comm5,Johnson County Wastewater -- Comm 5,Public Works,Johnson County Ks Wastewater,1
30831,786f,D,JoCoWW Comm6,Johnson County Wastewater -- Comm 6,Public Works,Johnson County Ks Wastewater,1
30832,7870,D,JoCoWW Comm7,Johnson County Wastewater -- Comm 7,Public Works,Johnson County Ks Wastewater,1
30833,7871,D,JoCoWW Comm8,Johnson County Wastewater -- Comm 8,Public Works,Johnson County Ks Wastewater,1
30834,7872,D,JoCoWW Call,Johnson County Wastewater -- Calling,Public Works,Johnson County Ks Wastewater,1
30835,7873,D,JoCoWWFaclty,Johnson County Wastewater -- Facility,Public Works,Johnson County Ks Wastewater,1
30850,7882,D,JoCo Bus All,The JO (Johnson County Transit) -- Announce (All Call),Transportation,Johnson County Ks Transit -- The JO,1
30851,7883,D,The JO SpcSv,The JO (Johnson County Transit) A -- Special Serives,Transportation,Johnson County Ks Transit -- The JO,1
30852,7884,D,The JO Trans,The JO (Johnson County Transit) B -- Transit,Transportation,Johnson County Ks Transit -- The JO,1
30853,7885,D,The JO Privt,The JO (Johnson County Transit) C -- Private,Transportation,Johnson County Ks Transit -- The JO,1
30860,788c,D,JoCoHelthAll,Johnson County Health Department -- Announce (All Call),Public Works,Johnson County Ks Health Department,1
30861,788d,D,JoCoHealth 1,Johnson County Health Department,Public Works,Johnson County Ks Health Department,1
31000,7918,D,JoCoSO N All,Johnson County Sheriff North Zone -- Announce (All Call),Emergency Ops,Johnson County Ks Sheriff North Zone,1
31001,7919,D,Fairway PD,Fairway Police,Law Dispatch,Johnson County Ks Sheriff North Zone,1
31002,791a,D,LkQuivira PD,Lake Quivira Police,Law Dispatch,Johnson County Ks Sheriff North Zone,1
31003,791b,D,Merriam PD,Merriam Police,Law Dispatch,Johnson County Ks Sheriff North Zone,1
31004,791c,D,Mission PD,Mission Police,Law Dispatch,Johnson County Ks Sheriff North Zone,1
31005,791d,D,RoelandPk PD,Roeland Park Police,Law Dispatch,Johnson County Ks Sheriff North Zone,1
31006,791e,D,Westwod PD,Westwood Police,Law Dispatch,Johnson County Ks Sheriff North Zone,1
31010,7922,D,LkQuivira FD,Lake Quivira Fire,Fire Dispatch,Johnson County Ks Sheriff North Zone,1
31011,7923,D,Merriam Fire,Merriam Fire,Fire Dispatch,Johnson County Ks Sheriff North Zone,1
31020,792c,D,FariwayPubWk,Fairway Public Works,Public Works,Johnson County Ks Sheriff North Zone,1
31021,792d,D,Misson PubWk,Mission Public Works,Public Works,Johnson County Ks Sheriff North Zone,1
31031,7937,D,Merriam City,Merriam Citywide,Public Works,Johnson County Ks Sheriff North Zone,1
31033,7939,D,Merriam PW,Merriam Public Works,Public Works,Johnson County Ks Sheriff North Zone,1
31050,794a,D,North Common,Johnson County Sheriff North Zone -- Common,Law Dispatch,Johnson County Ks Sheriff North Zone,1
31100,797c,D,JoCoSO S All,Johnson County Sheriff South Zone -- Announce (All Call),Emergency Ops,Johnson County Ks Sheriff South Zone,1
31101,797d,D,Gardner PD 1,Gardner Police 1,Law Dispatch,Johnson County Ks Sheriff South Zone,1
31102,797e,D,Gardner PD 2,Gardner Police 2,Law Tac,Johnson County Ks Sheriff South Zone,1
31103,797f,D,Sprg Hill PD,Spring Hill Police,Law Dispatch,Johnson County Ks Sheriff South Zone,1
31104,7980,D,De Soto PD,De Soto Police,Law Dispatch,Johnson County Ks Sheriff South Zone,1
31105,7981,D,Edgerton PD,Edgerton Police,Law Dispatch,Johnson County Ks Sheriff South Zone,1
31120,7990,D,JoCo Park 1,Johnson County Park Police 1,Security,Johnson County Ks Sheriff,1
31121,7991,D,JoCo Park 2,Johnson County Park Police 2,Security,Johnson County Ks Sheriff,1
31150,79ae,D,South Common,Johnson County Sheriff South Zone Common,Law Talk,Johnson County Ks Sheriff South Zone,1
31160,79b8,D,JoCoFDAdmin1,Johnson County Fire District #1 -- Administration,Fire-Talk,Johnson County Ks Fire,1
31170,79c2,D,JoCoFDAdmin2,Johnson County Fire District #2 -- Administration,Fire-Talk,Johnson County Ks Fire,1
31190,79d6,D,Miami Co FD,Miami Co Fire/EMS Dispatch,Fire Dispatch,Miami County Ks,1
31200,79e0,D,LeawodPD All,Leawood Police -- Announce (All call),Law Dispatch,Johnson County Ks: Leawood,1
31201,79e1,D,Leawood PD 1,Leawood Police 1,Law Dispatch,Johnson County Ks: Leawood,1
31202,79e2,E,Leawood PD 2,Leawood Police 2,Law Tac,Johnson County Ks: Leawood,1
31203,79e3,E,Leawood PD 3,"Leawood Police 3 ""Secure channel"" (Encrypted)",Law Tac,Johnson County Ks: Leawood,1
31204,79e4,D,LwoodPDEvent,Leawood Police -- Special Events,Law Tac,Johnson County Ks: Leawood,1
31205,79e5,D,LwoodPD Tac2,Leawood Police -- Tac 2,Law Tac,Johnson County Ks: Leawood,1
31206,79e6,D,LwoodPD Comn,Leawood Police -- Common,Law Talk,Johnson County Ks: Leawood,1
31210,79ea,D,Leawood FD1,Leawood Fire 1,Fire Dispatch,Johnson County Ks: Leawood,1
31211,79eb,D,Leawood FD 2,Leawood Fire 2,Fire-Tac,Johnson County Ks: Leawood,1
31212,79ec,D,LwoodFD Admn,Leawood Fire Administration (Chief's Channel),Fire-Talk,Johnson County Ks: Leawood,1
31230,79fe,D,Lwood PW All,Leawood Public Works Announce (All Call),Public Works,Johnson County Ks: Leawood,1
31231,79ff,D,Leawood PW 1,Leawood Public Works,Public Works,Johnson County Ks: Leawood,1
31232,7a00,D,LeawoodParks,Leawood Public Works -- Parks,Public Works,Johnson County Ks: Leawood,1
